:START_ID,:END_ID,:TYPE
1001,100101,hasSub
1002,100201,hasSub
1002,100202,hasSub
1002,100270,hasSub
1003,100301,hasSub
1003,100302,hasSub
1003,100303,hasSub
1003,100304,hasSub
1003,100305,hasSub
1003,100306,hasSub
1004,100401,hasSub
1004,100402,hasSub
1004,100403,hasSub
1004,100471,hasSub
1005,100501,hasSub
1005,100502,hasSub
1005,100503,hasSub
1006,100601,hasSub
1006,100602,hasSub
1006,100603,hasSub
1007,100701,hasSub
1007,100702,hasSub
1007,100703,hasSub
1007,100704,hasSub
1007,100705,hasSub
1007,100706,hasSub
1007,100707,hasSub
1007,100708,hasSub
1007,100709,hasSub
1007,100710,hasSub
1007,100711,hasSub
1007,100712,hasSub
1007,100713,hasSub
1007,100714,hasSub
1007,100771,hasSub
1007,100772,hasSub
1007,100773,hasSub
1007,100774,hasSub
1007,100775,hasSub
1007,100776,hasSub
1007,100777,hasSub
1007,100778,hasSub
1007,100779,hasSub
1007,100780,hasSub
1007,100781,hasSub
1007,100782,hasSub
1007,100783,hasSub
1007,100784,hasSub
1007,100785,hasSub
1007,100786,hasSub
1008,100801,hasSub
1008,100802,hasSub
1008,100803,hasSub
1008,100804,hasSub
1008,100805,hasSub
1008,100806,hasSub
1008,100807,hasSub
1008,100808,hasSub
1008,100809,hasSub
1008,100810,hasSub
1008,100811,hasSub
1008,100812,hasSub
1008,100813,hasSub
1008,100814,hasSub
1008,100815,hasSub
1008,100816,hasSub
1008,100817,hasSub
1008,100818,hasSub
1008,100819,hasSub
1008,100820,hasSub
1008,100821,hasSub
1008,100822,hasSub
1008,100823,hasSub
1008,100824,hasSub
1008,100825,hasSub
1008,100826,hasSub
1008,100827,hasSub
1008,100828,hasSub
1008,100829,hasSub
1008,100830,hasSub
1008,100831,hasSub
1008,100832,hasSub
1008,100833,hasSub
1008,100834,hasSub
1008,100835,hasSub
1008,100836,hasSub
1008,100837,hasSub
1008,100838,hasSub
1008,100839,hasSub
1008,100870,hasSub
1008,100871,hasSub
1008,100872,hasSub
1009,100901,hasSub
1009,100902,hasSub
1009,100903,hasSub
1009,100904,hasSub
1009,100905,hasSub
1009,100906,hasSub
1009,100907,hasSub
1009,100908,hasSub
1009,100909,hasSub
1009,100970,hasSub
1009,100971,hasSub
1009,100972,hasSub
1009,100973,hasSub
1010,101001,hasSub
1010,101002,hasSub
1010,101003,hasSub
1010,101004,hasSub
1010,101005,hasSub
1010,101006,hasSub
1010,101007,hasSub
1010,101008,hasSub
1010,101009,hasSub
1010,101010,hasSub
1010,101011,hasSub
1010,101071,hasSub
1010,101072,hasSub
1010,101073,hasSub
1010,101074,hasSub
1011,101101,hasSub
1011,101102,hasSub
1011,101103,hasSub
1011,101104,hasSub
1011,101105,hasSub
1011,101106,hasSub
1011,101107,hasSub
1011,101108,hasSub
1011,101109,hasSub
1011,101110,hasSub
1012,101201,hasSub
1012,101202,hasSub
1012,101203,hasSub
1012,101204,hasSub
1012,101205,hasSub
1013,101301,hasSub
1013,101302,hasSub
1013,101303,hasSub
1013,101304,hasSub
1013,101305,hasSub
2002,200251,hasSub
2002,200252,hasSub
2002,200253,hasSub
2002,200254,hasSub
2002,200255,hasSub
2002,200256,hasSub
2002,200257,hasSub
2003,200351,hasSub
2003,200352,hasSub
2003,200353,hasSub
2004,200451,hasSub
2004,200452,hasSub
2004,200453,hasSub
2004,200454,hasSub
2005,200551,hasSub
2005,200552,hasSub
2005,200553,hasSub
2006,200651,hasSub
2008,200851,hasSub
2008,200853,hasSub
2008,200854,hasSub
2008,200855,hasSub
2008,200856,hasSub
2008,200857,hasSub
2008,200858,hasSub
2008,200859,hasSub
2008,200860,hasSub
2008,200861,hasSub
2009,200951,hasSub
2009,200952,hasSub
2009,200953,hasSub
2009,200954,hasSub
2010,201051,hasSub
2010,201052,hasSub
2010,201053,hasSub
2010,201054,hasSub
2010,201055,hasSub
2010,201056,hasSub
2010,201057,hasSub
2011,201151,hasSub
2012,201251,hasSub
2012,201252,hasSub
2012,201253,hasSub
2012,201254,hasSub
2012,201255,hasSub
2012,201256,hasSub
2013,201351,hasSub
